time,region,min,max,mean
2024-08-02 16:30:00,NW Suisun,4.8,12.7,7.6
2024-08-03 16:30:00,Yolo Bypass,0.0,0.1,0.1
2024-08-03 16:30:00,Sacramento River,0.0,0.1,0.0
2024-08-03 16:30:00,East Delta,0.0,0.1,0.0
2024-08-03 16:30:00,Lower Sacramento River,0.1,1.1,0.3
2024-08-03 16:30:00,South Delta,0.0,0.9,0.1
2024-08-03 16:30:00,Suisun Marsh,0.4,7.3,4.4
2024-08-03 16:30:00,Confluence,0.2,3.9,1.4
2024-08-03 16:30:00,Lower San Joaquin River,0.1,0.8,0.2
2024-08-03 16:30:00,SW Suisun,9.0,14.4,12.2
2024-08-03 16:30:00,SE Suisun,2.5,13.1,5.8
2024-08-03 16:30:00,NE Suisun,1.4,9.5,5.4
2024-08-03 16:30:00,NW Suisun,4.8,13.2,7.7
2024-08-04 16:30:00,Yolo Bypass,0.0,0.1,0.1
2024-08-04 16:30:00,Sacramento River,0.0,0.1,0.0
2024-08-04 16:30:00,East Delta,0.0,0.1,0.0
2024-08-04 16:30:00,Lower Sacramento River,0.1,1.1,0.3
2024-08-04 16:30:00,South Delta,0.0,0.9,0.1
2024-08-04 16:30:00,Suisun Marsh,0.4,7.3,4.4
2024-08-04 16:30:00,Confluence,0.2,2.9,1.4
2024-08-04 16:30:00,Lower San Joaquin River,0.1,0.8,0.2
2024-08-04 16:30:00,SW Suisun,8.8,14.3,12.1
2024-08-04 16:30:00,SE Suisun,2.4,12.4,5.7
2024-08-04 16:30:00,NE Suisun,1.4,8.8,5.4
2024-08-04 16:30:00,NW Suisun,4.9,12.8,7.7
2024-08-05 16:30:00,Yolo Bypass,0.0,0.1,0.1
2024-08-05 16:30:00,Sacramento River,0.0,0.1,0.0
2024-08-05 16:30:00,East Delta,0.0,0.1,0.1
2024-08-05 16:30:00,Lower Sacramento River,0.1,1.0,0.3
2024-08-05 16:30:00,South Delta,0.0,0.9,0.1
2024-08-05 16:30:00,Suisun Marsh,0.4,7.1,4.4
2024-08-05 16:30:00,Confluence,0.2,2.8,1.3
2024-08-05 16:30:00,Lower San Joaquin River,0.1,0.8,0.2
2024-08-05 16:30:00,SW Suisun,8.6,14.3,12.0
2024-08-05 16:30:00,SE Suisun,2.3,12.0,5.6
2024-08-05 16:30:00,NE Suisun,1.4,8.4,5.3
2024-08-05 16:30:00,NW Suisun,5.1,12.8,7.6
2024-08-06 16:30:00,Yolo Bypass,0.0,0.2,0.1
2024-08-06 16:30:00,Sacramento River,0.0,0.1,0.0
2024-08-06 16:30:00,East Delta,0.0,0.1,0.1
2024-08-06 16:30:00,Lower Sacramento River,0.1,0.9,0.3
2024-08-06 16:30:00,South Delta,0.0,0.9,0.1
2024-08-06 16:30:00,Suisun Marsh,0.4,6.9,4.4
2024-08-06 16:30:00,Confluence,0.2,2.8,1.3
2024-08-06 16:30:00,Lower San Joaquin River,0.1,0.8,0.2
2024-08-06 16:30:00,SW Suisun,8.8,14.6,12.2
2024-08-06 16:30:00,SE Suisun,2.3,10.3,5.6
2024-08-06 16:30:00,NE Suisun,1.4,8.5,5.3
2024-08-06 16:30:00,NW Suisun,5.5,13.1,7.6
2024-08-07 16:30:00,Yolo Bypass,0.0,0.2,0.1
2024-08-07 16:30:00,Sacramento River,0.0,0.1,0.1
2024-08-07 16:30:00,East Delta,0.0,0.1,0.1
2024-08-07 16:30:00,Lower Sacramento River,0.1,0.9,0.3
2024-08-07 16:30:00,South Delta,0.0,0.9,0.1
2024-08-07 16:30:00,Suisun Marsh,0.4,6.9,4.5
2024-08-07 16:30:00,Confluence,0.2,2.9,1.4
2024-08-07 16:30:00,Lower San Joaquin River,0.1,0.8,0.2
2024-08-07 16:30:00,SW Suisun,9.1,15.1,12.6
2024-08-07 16:30:00,SE Suisun,2.5,10.5,5.8
2024-08-07 16:30:00,NE Suisun,1.4,8.8,5.5
2024-08-07 16:30:00,NW Suisun,5.5,13.7,7.9
2024-08-08 16:30:00,Yolo Bypass,0.0,0.2,0.1
2024-08-08 16:30:00,Sacramento River,0.0,0.1,0.1
2024-08-08 16:30:00,East Delta,0.0,0.1,0.1
2024-08-08 16:30:00,Lower Sacramento River,0.1,0.8,0.3
2024-08-08 16:30:00,South Delta,0.0,0.9,0.1
2024-08-08 16:30:00,Suisun Marsh,0.4,7.0,4.5
2024-08-08 16:30:00,Confluence,0.2,2.8,1.4
2024-08-08 16:30:00,Lower San Joaquin River,0.1,0.8,0.2
2024-08-08 16:30:00,SW Suisun,8.9,15.4,12.6
2024-08-08 16:30:00,SE Suisun,2.4,10.7,5.7
2024-08-08 16:30:00,NE Suisun,1.4,8.6,5.4
2024-08-08 16:30:00,NW Suisun,5.6,13.9,7.9
2024-08-09 16:30:00,Yolo Bypass,0.0,0.2,0.1
2024-08-09 16:30:00,Sacramento River,0.0,0.1,0.1
2024-08-09 16:30:00,East Delta,0.0,0.1,0.1
2024-08-09 16:30:00,Lower Sacramento River,0.1,0.7,0.2
2024-08-09 16:30:00,South Delta,0.0,0.9,0.1
2024-08-09 16:30:00,Suisun Marsh,0.4,6.9,4.5
2024-08-09 16:30:00,Confluence,0.2,2.7,1.3
2024-08-09 16:30:00,Lower San Joaquin River,0.1,0.7,0.2
2024-08-09 16:30:00,SW Suisun,8.7,15.5,12.7
2024-08-09 16:30:00,SE Suisun,2.3,10.7,5.5
2024-08-09 16:30:00,NE Suisun,1.4,8.4,5.2
2024-08-09 16:30:00,NW Suisun,5.6,14.1,7.9
2024-08-10 16:30:00,Yolo Bypass,0.0,0.2,0.1
2024-08-10 16:30:00,Sacramento River,0.0,0.1,0.1
2024-08-10 16:30:00,East Delta,0.0,0.1,0.1
2024-08-10 16:30:00,Lower Sacramento River,0.1,0.6,0.2
2024-08-10 16:30:00,South Delta,0.0,0.9,0.1
2024-08-10 16:30:00,Suisun Marsh,0.4,7.1,4.6
2024-08-10 16:30:00,Confluence,0.2,2.6,1.2
2024-08-10 16:30:00,Lower San Joaquin River,0.1,0.7,0.2
2024-08-10 16:30:00,SW Suisun,9.0,15.4,12.7
2024-08-10 16:30:00,SE Suisun,2.3,10.8,5.5
2024-08-10 16:30:00,NE Suisun,1.4,8.7,5.2
2024-08-10 16:30:00,NW Suisun,5.6,14.2,8.0
2024-08-11 16:30:00,Yolo Bypass,0.0,0.2,0.1
2024-08-11 16:30:00,Sacramento River,0.0,0.1,0.1
2024-08-11 16:30:00,East Delta,0.0,0.1,0.1
2024-08-11 16:30:00,Lower Sacramento River,0.1,0.6,0.2
2024-08-11 16:30:00,South Delta,0.0,0.9,0.1
2024-08-11 16:30:00,Suisun Marsh,0.4,7.5,4.6
2024-08-11 16:30:00,Confluence,0.2,2.6,1.2
2024-08-11 16:30:00,Lower San Joaquin River,0.1,0.7,0.2
2024-08-11 16:30:00,SW Suisun,9.0,15.1,12.6
2024-08-11 16:30:00,SE Suisun,2.3,10.7,5.4
2024-08-11 16:30:00,NE Suisun,1.4,9.6,5.2
2024-08-11 16:30:00,NW Suisun,5.6,14.0,8.0
2024-08-12 16:30:00,Yolo Bypass,0.0,0.2,0.1
2024-08-12 16:30:00,Sacramento River,0.0,0.1,0.1
2024-08-12 16:30:00,East Delta,0.0,0.1,0.1
2024-08-12 16:30:00,Lower Sacramento River,0.1,0.8,0.2
2024-08-12 16:30:00,South Delta,0.0,0.9,0.1
2024-08-12 16:30:00,Suisun Marsh,0.4,7.6,4.6
2024-08-12 16:30:00,Confluence,0.2,2.6,1.2
2024-08-12 16:30:00,Lower San Joaquin River,0.1,0.7,0.2
2024-08-12 16:30:00,SW Suisun,8.8,15.1,12.5
2024-08-12 16:30:00,SE Suisun,2.2,10.7,5.5
2024-08-12 16:30:00,NE Suisun,1.4,8.9,5.1
2024-08-12 16:30:00,NW Suisun,5.6,14.0,8.1
2024-08-13 16:30:00,Yolo Bypass,0.0,0.2,0.1
2024-08-13 16:30:00,Sacramento River,0.0,0.1,0.1
2024-08-13 16:30:00,East Delta,0.0,0.1,0.1
2024-08-13 16:30:00,Lower Sacramento River,0.1,0.9,0.3
2024-08-13 16:30:00,South Delta,0.0,0.9,0.1
2024-08-13 16:30:00,Suisun Marsh,0.4,7.6,4.6
2024-08-13 16:30:00,Confluence,0.2,2.6,1.2
2024-08-13 16:30:00,Lower San Joaquin River,0.1,0.7,0.2
2024-08-13 16:30:00,SW Suisun,8.8,14.9,12.4
2024-08-13 16:30:00,SE Suisun,2.2,10.5,5.5
2024-08-13 16:30:00,NE Suisun,1.4,9.2,5.2
2024-08-13 16:30:00,NW Suisun,5.6,13.8,8.0
2024-08-14 16:30:00,Yolo Bypass,0.0,0.2,0.1
2024-08-14 16:30:00,Sacramento River,0.0,0.1,0.1
2024-08-14 16:30:00,East Delta,0.0,0.1,0.1
2024-08-14 16:30:00,Lower Sacramento River,0.1,0.9,0.3
2024-08-14 16:30:00,South Delta,0.1,0.9,0.1
2024-08-14 16:30:00,Suisun Marsh,0.4,7.8,4.6
2024-08-14 16:30:00,Confluence,0.2,2.6,1.2
2024-08-14 16:30:00,Lower San Joaquin River,0.1,0.7,0.2
2024-08-14 16:30:00,SW Suisun,8.7,14.6,12.2
2024-08-14 16:30:00,SE Suisun,2.1,13.3,5.5
2024-08-14 16:30:00,NE Suisun,1.4,9.3,5.2
2024-08-14 16:30:00,NW Suisun,5.6,13.4,7.9
2024-08-15 16:30:00,Yolo Bypass,0.0,0.2,0.1
2024-08-15 16:30:00,Sacramento River,0.0,0.1,0.1
2024-08-15 16:30:00,East Delta,0.0,0.1,0.1
2024-08-15 16:30:00,Lower Sacramento River,0.1,1.0,0.3
2024-08-15 16:30:00,South Delta,0.1,0.9,0.1
2024-08-15 16:30:00,Suisun Marsh,0.4,7.9,4.6
2024-08-15 16:30:00,Confluence,0.2,4.7,1.3
2024-08-15 16:30:00,Lower San Joaquin River,0.1,0.7,0.2
2024-08-15 16:30:00,SW Suisun,9.1,14.7,12.4
2024-08-15 16:30:00,SE Suisun,2.4,13.5,5.7
2024-08-15 16:30:00,NE Suisun,1.4,10.6,5.3
2024-08-15 16:30:00,NW Suisun,1.9,13.6,7.9
2024-08-16 16:30:00,Yolo Bypass,0.0,0.2,0.1
2024-08-16 16:30:00,Sacramento River,0.0,0.1,0.1
2024-08-16 16:30:00,East Delta,0.0,0.1,0.1
2024-08-16 16:30:00,Lower Sacramento River,0.1,1.2,0.4
2024-08-16 16:30:00,South Delta,0.1,0.9,0.1
2024-08-16 16:30:00,Suisun Marsh,0.4,8.3,4.6
2024-08-16 16:30:00,Confluence,0.2,4.2,1.6
2024-08-16 16:30:00,Lower San Joaquin River,0.1,0.8,0.3
2024-08-16 16:30:00,SW Suisun,9.7,15.1,12.8
2024-08-16 16:30:00,SE Suisun,2.7,13.0,6.2
2024-08-16 16:30:00,NE Suisun,1.5,10.6,5.8
2024-08-16 16:30:00,NW Suisun,1.9,14.0,8.2
2024-08-17 16:30:00,Yolo Bypass,0.0,0.2,0.1
2024-08-17 16:30:00,Sacramento River,0.0,0.1,0.1
2024-08-17 16:30:00,East Delta,0.0,0.1,0.1
2024-08-17 16:30:00,Lower Sacramento River,0.1,1.2,0.4
2024-08-17 16:30:00,South Delta,0.1,0.9,0.1
2024-08-17 16:30:00,Suisun Marsh,0.4,8.2,4.7
2024-08-17 16:30:00,Confluence,0.2,4.8,1.6
2024-08-17 16:30:00,Lower San Joaquin River,0.1,0.9,0.3
2024-08-17 16:30:00,SW Suisun,9.5,14.7,12.5
2024-08-17 16:30:00,SE Suisun,2.7,13.6,6.1
2024-08-17 16:30:00,NE Suisun,1.5,10.6,5.9
2024-08-17 16:30:00,NW Suisun,1.9,13.6,8.1
2024-08-18 16:30:00,Yolo Bypass,0.0,0.2,0.1
2024-08-18 16:30:00,Sacramento River,0.0,0.1,0.1
2024-08-18 16:30:00,East Delta,0.0,0.1,0.1
2024-08-18 16:30:00,Lower Sacramento River,0.1,1.4,0.5
2024-08-18 16:30:00,South Delta,0.1,0.9,0.1
2024-08-18 16:30:00,Suisun Marsh,0.4,8.4,4.7
2024-08-18 16:30:00,Confluence,0.2,4.4,1.7
2024-08-18 16:30:00,Lower San Joaquin River,0.1,0.9,0.3
2024-08-18 16:30:00,SW Suisun,9.6,15.0,12.8
2024-08-18 16:30:00,SE Suisun,2.9,14.1,6.3
2024-08-18 16:30:00,NE Suisun,1.5,10.5,6.0
2024-08-18 16:30:00,NW Suisun,1.9,13.7,8.2
2024-08-19 16:30:00,Yolo Bypass,0.0,0.2,0.1
2024-08-19 16:30:00,Sacramento River,0.0,0.2,0.1
2024-08-19 16:30:00,East Delta,0.0,0.1,0.1
2024-08-19 16:30:00,Lower Sacramento River,0.1,1.5,0.5
2024-08-19 16:30:00,South Delta,0.1,0.9,0.1
2024-08-19 16:30:00,Suisun Marsh,0.4,7.9,4.8
2024-08-19 16:30:00,Confluence,0.3,4.2,1.8
2024-08-19 16:30:00,Lower San Joaquin River,0.1,1.0,0.3
2024-08-19 16:30:00,SW Suisun,9.9,15.2,13.0
2024-08-19 16:30:00,SE Suisun,3.0,13.2,6.6
2024-08-19 16:30:00,NE Suisun,1.5,9.7,6.1
2024-08-19 16:30:00,NW Suisun,2.0,13.7,8.4
2024-08-20 16:30:00,Yolo Bypass,0.0,0.2,0.1
2024-08-20 16:30:00,Sacramento River,0.1,0.2,0.1
2024-08-20 16:30:00,East Delta,0.0,0.1,0.1
2024-08-20 16:30:00,Lower Sacramento River,0.1,1.5,0.5
2024-08-20 16:30:00,South Delta,0.1,0.9,0.1
2024-08-20 16:30:00,Suisun Marsh,0.4,7.7,4.8
2024-08-20 16:30:00,Confluence,0.3,3.7,1.9
2024-08-20 16:30:00,Lower San Joaquin River,0.1,1.0,0.3
2024-08-20 16:30:00,SW Suisun,10.1,15.6,13.4
2024-08-20 16:30:00,SE Suisun,3.2,12.7,6.8
2024-08-20 16:30:00,NE Suisun,1.5,9.7,6.3
2024-08-20 16:30:00,NW Suisun,5.3,14.0,8.5
2024-08-21 16:30:00,Yolo Bypass,0.0,0.2,0.1
2024-08-21 16:30:00,Sacramento River,0.1,0.2,0.1
2024-08-21 16:30:00,East Delta,0.0,0.1,0.1
2024-08-21 16:30:00,Lower Sacramento River,0.1,1.6,0.6
2024-08-21 16:30:00,South Delta,0.1,0.9,0.1
2024-08-21 16:30:00,Suisun Marsh,0.4,7.7,4.8
2024-08-21 16:30:00,Confluence,0.3,4.0,2.1
2024-08-21 16:30:00,Lower San Joaquin River,0.1,1.1,0.3
2024-08-21 16:30:00,SW Suisun,10.6,16.2,13.8
2024-08-21 16:30:00,SE Suisun,3.5,11.9,7.1
2024-08-21 16:30:00,NE Suisun,1.5,10.3,6.5
2024-08-21 16:30:00,NW Suisun,5.7,14.6,8.8
2024-08-22 16:30:00,Yolo Bypass,0.0,0.2,0.1
2024-08-22 16:30:00,Sacramento River,0.1,0.2,0.1
2024-08-22 16:30:00,East Delta,0.0,0.1,0.1
2024-08-22 16:30:00,Lower Sacramento River,0.1,1.6,0.6
2024-08-22 16:30:00,South Delta,0.1,0.9,0.1
2024-08-22 16:30:00,Suisun Marsh,0.4,8.0,5.0
2024-08-22 16:30:00,Confluence,0.3,4.1,2.2
2024-08-22 16:30:00,Lower San Joaquin River,0.1,1.2,0.3
2024-08-22 16:30:00,SW Suisun,10.4,16.4,13.9
2024-08-22 16:30:00,SE Suisun,3.5,12.8,7.1
2024-08-22 16:30:00,NE Suisun,1.5,10.1,6.6
2024-08-22 16:30:00,NW Suisun,5.6,14.7,8.9
2024-08-23 16:30:00,Yolo Bypass,0.0,0.2,0.1
2024-08-23 16:30:00,Sacramento River,0.1,0.2,0.1
2024-08-23 16:30:00,East Delta,0.0,0.1,0.1
2024-08-23 16:30:00,Lower Sacramento River,0.1,1.6,0.6
2024-08-23 16:30:00,South Delta,0.1,0.9,0.1
2024-08-23 16:30:00,Suisun Marsh,0.4,8.2,5.0
2024-08-23 16:30:00,Confluence,0.4,4.1,2.2
2024-08-23 16:30:00,Lower San Joaquin River,0.1,1.2,0.3
2024-08-23 16:30:00,SW Suisun,10.3,16.5,14.0
2024-08-23 16:30:00,SE Suisun,3.6,13.5,7.1
2024-08-23 16:30:00,NE Suisun,1.5,10.0,6.6
2024-08-23 16:30:00,NW Suisun,5.7,15.0,9.0
2024-08-24 16:30:00,Yolo Bypass,0.0,0.2,0.1
2024-08-24 16:30:00,Sacramento River,0.1,0.2,0.1
2024-08-24 16:30:00,East Delta,0.0,0.2,0.1
2024-08-24 16:30:00,Lower Sacramento River,0.1,1.7,0.6
2024-08-24 16:30:00,South Delta,0.1,0.9,0.1
2024-08-24 16:30:00,Suisun Marsh,0.4,8.7,5.0
2024-08-24 16:30:00,Confluence,0.3,4.2,2.3
2024-08-24 16:30:00,Lower San Joaquin River,0.1,1.3,0.4
2024-08-24 16:30:00,SW Suisun,10.6,16.7,14.2
2024-08-24 16:30:00,SE Suisun,3.7,14.4,7.3
2024-08-24 16:30:00,NE Suisun,1.5,10.3,6.8
2024-08-24 16:30:00,NW Suisun,5.7,15.3,9.2
2024-08-25 16:30:00,Yolo Bypass,0.1,0.2,0.1
2024-08-25 16:30:00,Sacramento River,0.1,0.2,0.1
2024-08-25 16:30:00,East Delta,0.0,0.2,0.1
2024-08-25 16:30:00,Lower Sacramento River,0.1,1.9,0.6
2024-08-25 16:30:00,South Delta,0.1,0.9,0.1
2024-08-25 16:30:00,Suisun Marsh,0.4,9.3,5.1
2024-08-25 16:30:00,Confluence,0.3,4.7,2.5
2024-08-25 16:30:00,Lower San Joaquin River,0.1,1.4,0.4
2024-08-25 16:30:00,SW Suisun,11.1,17.1,14.7
2024-08-25 16:30:00,SE Suisun,4.0,15.7,7.7
2024-08-25 16:30:00,NE Suisun,1.5,11.4,7.2
2024-08-25 16:30:00,NW Suisun,5.7,15.9,9.6
2024-08-26 16:30:00,Yolo Bypass,0.1,0.2,0.1
2024-08-26 16:30:00,Sacramento River,0.1,0.2,0.1
2024-08-26 16:30:00,East Delta,0.0,0.2,0.1
2024-08-26 16:30:00,Lower Sacramento River,0.1,2.0,0.7
2024-08-26 16:30:00,South Delta,0.1,0.9,0.1
2024-08-26 16:30:00,Suisun Marsh,0.4,9.9,5.1
2024-08-26 16:30:00,Confluence,0.3,5.2,2.7
2024-08-26 16:30:00,Lower San Joaquin River,0.1,1.6,0.4
2024-08-26 16:30:00,SW Suisun,11.6,17.4,15.1
2024-08-26 16:30:00,SE Suisun,4.3,16.6,8.2
2024-08-26 16:30:00,NE Suisun,1.5,11.8,7.6
2024-08-26 16:30:00,NW Suisun,5.7,16.2,10.0
2024-08-27 16:30:00,Yolo Bypass,0.1,0.2,0.1
2024-08-27 16:30:00,Sacramento River,0.1,0.2,0.1
2024-08-27 16:30:00,East Delta,0.0,0.2,0.1
2024-08-27 16:30:00,Lower Sacramento River,0.1,2.4,0.9
2024-08-27 16:30:00,South Delta,0.1,0.9,0.1
2024-08-27 16:30:00,Suisun Marsh,0.4,10.7,5.3
2024-08-27 16:30:00,Confluence,0.4,5.6,3.0
2024-08-27 16:30:00,Lower San Joaquin River,0.1,1.8,0.5
2024-08-27 16:30:00,SW Suisun,12.2,17.7,15.5
2024-08-27 16:30:00,SE Suisun,4.7,16.6,8.7
2024-08-27 16:30:00,NE Suisun,1.5,12.8,8.1
2024-08-27 16:30:00,NW Suisun,5.7,16.7,10.4
2024-08-28 16:30:00,Yolo Bypass,0.1,0.2,0.1
2024-08-28 16:30:00,Sacramento River,0.1,0.2,0.1
2024-08-28 16:30:00,East Delta,0.0,0.2,0.1
2024-08-28 16:30:00,Lower Sacramento River,0.1,2.6,1.0
2024-08-28 16:30:00,South Delta,0.1,0.9,0.1
2024-08-28 16:30:00,Suisun Marsh,0.4,10.8,5.4
2024-08-28 16:30:00,Confluence,0.4,5.8,3.2
2024-08-28 16:30:00,Lower San Joaquin River,0.1,1.9,0.5
2024-08-28 16:30:00,SW Suisun,12.6,17.8,15.6
2024-08-28 16:30:00,SE Suisun,5.0,16.0,8.9
2024-08-28 16:30:00,NE Suisun,1.5,13.3,8.6
2024-08-28 16:30:00,NW Suisun,5.7,16.5,10.7
2024-08-29 16:30:00,Yolo Bypass,0.1,0.2,0.1
2024-08-29 16:30:00,Sacramento River,0.0,0.2,0.1
2024-08-29 16:30:00,East Delta,0.0,0.2,0.1
2024-08-29 16:30:00,Lower Sacramento River,0.1,2.6,1.0
2024-08-29 16:30:00,South Delta,0.1,0.9,0.1
2024-08-29 16:30:00,Suisun Marsh,0.4,10.8,5.5
2024-08-29 16:30:00,Confluence,0.4,5.7,3.2
2024-08-29 16:30:00,Lower San Joaquin River,0.1,1.9,0.5
2024-08-29 16:30:00,SW Suisun,12.3,17.4,15.3
2024-08-29 16:30:00,SE Suisun,4.8,15.5,8.7
2024-08-29 16:30:00,NE Suisun,1.5,12.0,8.6
2024-08-29 16:30:00,NW Suisun,5.7,16.1,10.7
2024-08-30 16:30:00,Yolo Bypass,0.1,0.2,0.1
2024-08-30 16:30:00,Sacramento River,0.1,0.2,0.1
2024-08-30 16:30:00,East Delta,0.1,0.2,0.1
2024-08-30 16:30:00,Lower Sacramento River,0.1,2.6,1.0
2024-08-30 16:30:00,South Delta,0.1,0.9,0.1
2024-08-30 16:30:00,Suisun Marsh,0.4,10.7,5.5
2024-08-30 16:30:00,Confluence,0.5,5.6,3.2
2024-08-30 16:30:00,Lower San Joaquin River,0.1,1.9,0.6
2024-08-30 16:30:00,SW Suisun,12.2,17.4,15.2
2024-08-30 16:30:00,SE Suisun,4.8,15.0,8.7
2024-08-30 16:30:00,NE Suisun,1.5,12.6,8.6
2024-08-30 16:30:00,NW Suisun,5.8,16.0,10.8
2024-08-31 16:30:00,Yolo Bypass,0.1,0.2,0.1
2024-08-31 16:30:00,Sacramento River,0.1,0.2,0.1
2024-08-31 16:30:00,East Delta,0.1,0.2,0.1
2024-08-31 16:30:00,Lower Sacramento River,0.1,2.7,1.0
2024-08-31 16:30:00,South Delta,0.1,0.9,0.1
2024-08-31 16:30:00,Suisun Marsh,0.4,10.8,5.6
2024-08-31 16:30:00,Confluence,0.5,5.7,3.3
2024-08-31 16:30:00,Lower San Joaquin River,0.1,2.0,0.6
2024-08-31 16:30:00,SW Suisun,12.3,17.6,15.4
2024-08-31 16:30:00,SE Suisun,5.0,15.8,8.8
2024-08-31 16:30:00,NE Suisun,1.5,12.6,8.6
2024-08-31 16:30:00,NW Suisun,5.8,16.3,11.0
2024-09-01 16:30:00,Yolo Bypass,0.1,0.2,0.1
2024-09-01 16:30:00,Sacramento River,0.1,0.3,0.1
2024-09-01 16:30:00,East Delta,0.1,0.2,0.1
2024-09-01 16:30:00,Lower Sacramento River,0.1,2.6,0.9
2024-09-01 16:30:00,South Delta,0.1,0.9,0.1
2024-09-01 16:30:00,Suisun Marsh,0.4,10.6,5.7
2024-09-01 16:30:00,Confluence,0.6,5.5,3.2
2024-09-01 16:30:00,Lower San Joaquin River,0.1,1.9,0.6
2024-09-01 16:30:00,SW Suisun,12.0,17.6,15.3
2024-09-01 16:30:00,SE Suisun,4.9,14.6,8.7
2024-09-01 16:30:00,NE Suisun,1.5,12.4,8.5
2024-09-01 16:30:00,NW Suisun,6.2,16.1,10.9
2024-09-02 16:30:00,Yolo Bypass,0.1,0.2,0.1
2024-09-02 16:30:00,Sacramento River,0.1,0.3,0.1
2024-09-02 16:30:00,East Delta,0.1,0.2,0.1
2024-09-02 16:30:00,Lower Sacramento River,0.1,2.3,0.8
2024-09-02 16:30:00,South Delta,0.1,0.9,0.2
2024-09-02 16:30:00,Suisun Marsh,0.4,10.3,5.6
2024-09-02 16:30:00,Confluence,0.5,5.2,3.0
2024-09-02 16:30:00,Lower San Joaquin River,0.1,1.8,0.6
2024-09-02 16:30:00,SW Suisun,11.5,17.3,15.0
2024-09-02 16:30:00,SE Suisun,4.6,13.3,8.4
2024-09-02 16:30:00,NE Suisun,1.5,11.3,8.2
2024-09-02 16:30:00,NW Suisun,6.1,15.8,10.7
2024-09-03 16:30:00,Yolo Bypass,0.1,0.2,0.1
2024-09-03 16:30:00,Sacramento River,0.1,0.3,0.1
2024-09-03 16:30:00,East Delta,0.1,0.2,0.1
2024-09-03 16:30:00,Lower Sacramento River,0.1,2.2,0.7
2024-09-03 16:30:00,South Delta,0.1,0.9,0.2
2024-09-03 16:30:00,Suisun Marsh,0.4,10.2,5.7
2024-09-03 16:30:00,Confluence,1.0,5.3,3.0
2024-09-03 16:30:00,Lower San Joaquin River,0.1,1.8,0.6
2024-09-03 16:30:00,SW Suisun,11.7,17.7,15.3
2024-09-03 16:30:00,SE Suisun,4.7,13.5,8.6
2024-09-03 16:30:00,NE Suisun,1.5,11.4,8.2
2024-09-03 16:30:00,NW Suisun,6.0,16.3,10.7
2024-09-04 16:30:00,Yolo Bypass,0.1,0.2,0.1
2024-09-04 16:30:00,Sacramento River,0.1,0.3,0.1
2024-09-04 16:30:00,East Delta,0.1,0.2,0.1
2024-09-04 16:30:00,Lower Sacramento River,0.1,2.3,0.7
2024-09-04 16:30:00,South Delta,0.1,0.9,0.2
2024-09-04 16:30:00,Suisun Marsh,0.4,10.2,5.7
2024-09-04 16:30:00,Confluence,1.0,5.5,3.1
2024-09-04 16:30:00,Lower San Joaquin River,0.1,1.9,0.6
2024-09-04 16:30:00,SW Suisun,11.9,18.0,15.5
2024-09-04 16:30:00,SE Suisun,4.8,13.7,8.7
2024-09-04 16:30:00,NE Suisun,1.5,11.7,8.3
2024-09-04 16:30:00,NW Suisun,8.4,16.5,10.9
2024-09-05 16:30:00,Yolo Bypass,0.1,0.2,0.1
2024-09-05 16:30:00,Sacramento River,0.1,0.3,0.1
2024-09-05 16:30:00,East Delta,0.1,0.2,0.1
2024-09-05 16:30:00,Lower Sacramento River,0.1,2.3,0.7
2024-09-05 16:30:00,South Delta,0.1,0.9,0.2
2024-09-05 16:30:00,Suisun Marsh,0.4,10.2,5.8
2024-09-05 16:30:00,Confluence,0.9,5.6,3.2
2024-09-05 16:30:00,Lower San Joaquin River,0.1,1.9,0.6
2024-09-05 16:30:00,SW Suisun,12.1,18.4,15.8
2024-09-05 16:30:00,SE Suisun,5.0,13.9,8.8
2024-09-05 16:30:00,NE Suisun,1.5,11.8,8.4
2024-09-05 16:30:00,NW Suisun,8.6,16.9,11.1
2024-09-06 16:30:00,Yolo Bypass,0.1,0.2,0.1
2024-09-06 16:30:00,Sacramento River,0.1,0.3,0.1
2024-09-06 16:30:00,East Delta,0.1,0.3,0.1
2024-09-06 16:30:00,Lower Sacramento River,0.1,2.3,0.7
2024-09-06 16:30:00,South Delta,0.1,1.0,0.2
2024-09-06 16:30:00,Suisun Marsh,0.4,10.3,5.8
2024-09-06 16:30:00,Confluence,0.9,5.6,3.2
2024-09-06 16:30:00,Lower San Joaquin River,0.1,1.9,0.6
2024-09-06 16:30:00,SW Suisun,12.3,18.6,16.0
2024-09-06 16:30:00,SE Suisun,5.0,14.0,8.8
2024-09-06 16:30:00,NE Suisun,1.5,12.1,8.6
2024-09-06 16:30:00,NW Suisun,8.7,17.2,11.3
2024-09-07 16:30:00,Yolo Bypass,0.1,0.2,0.1
2024-09-07 16:30:00,Sacramento River,0.1,0.3,0.1
2024-09-07 16:30:00,East Delta,0.1,0.3,0.1
2024-09-07 16:30:00,Lower Sacramento River,0.1,2.2,0.7
2024-09-07 16:30:00,South Delta,0.1,1.0,0.2
2024-09-07 16:30:00,Suisun Marsh,0.4,10.8,5.9
2024-09-07 16:30:00,Confluence,0.9,5.7,3.2
2024-09-07 16:30:00,Lower San Joaquin River,0.1,2.0,0.7
2024-09-07 16:30:00,SW Suisun,12.6,18.9,16.3
2024-09-07 16:30:00,SE Suisun,5.2,14.3,9.0
